Timestamp,What is your age range?,What’s your general mood?,What are your hobbies?,Are you open to new things?,What are you going to do while you listen to music?,How loud of music can you handle ,What kind of music do you usually listen to?
2/9/2024 13:56:24,11-18,Happy,Weight Lifting,Maybe,Working out,Loud,Rap
2/9/2024 13:56:37,11-18,Happy,Other/None of these,Yes,Other,Loud,Pop
2/9/2024 13:57:25,11-18,Calm,Other/None of these,Yes,Cleaning,Loud,Country
2/9/2024 13:58:03,11-18,Calm,Other/None of these,Yes,Just listening because why not,Loud,Rock
2/9/2024 13:58:18,11-18,Angry,Gaming,Maybe,Just listening because why not,Loud,Hip-Hop
2/9/2024 14:01:10,11-18,Calm,Drawing,I Dont care,Other,Very loud,Rap
2/9/2024 14:01:15,11-18,I have no emotion,Weight Lifting,Maybe,Working out,Very loud,Rap
2/9/2024 14:01:33,11-18,Happy,Gaming,Yes,Playing video games,Very loud,Rap
2/9/2024 14:02:23,11-18,Happy,Other/None of these,I Dont care,Falling asleep/Sleeping,Loud,Pop
2/9/2024 14:02:36,11-18,Calm,Other/None of these,Maybe,Just listening because why not,Background noise,Pop
2/9/2024 14:03:12,11-18,Happy,Gaming,Maybe,Working out,Loud,Rap
2/9/2024 14:04:50,11-18,Happy,Other/None of these,Maybe,Working out,Loud,Rap
2/9/2024 14:05:58,11-18,Calm,Other/None of these,I Dont care,Falling asleep/Sleeping,Very loud,Rap
2/9/2024 14:06:10,11-18,Normal,Weight Lifting,Yes,Working out,Very loud,Country
2/9/2024 14:06:12,11-18,Happy,Other/None of these,Yes,Just listening because why not,Very loud,Country
2/9/2024 14:07:43,11-18,Calm,Skateboarding,Maybe,Just listening because why not,Loud,Rock
2/9/2024 14:07:59,33-49+,Happy,Weight Lifting,Yes,Working out,Loud,Hip-Hop
2/9/2024 14:09:06,11-18,Calm,Gaming,Yes,Falling asleep/Sleeping,Very loud,Classical
2/9/2024 14:09:28,11-18,Angry,Skateboarding,I Dont care,Just listening because why not,Very loud,Metal
2/9/2024 14:09:51,33-49+,Happy,Other/None of these,Yes,Cleaning,Background noise,Country
2/9/2024 14:10:44,11-18,Calm,Other/None of these,I Dont care,Cleaning,Background noise,Hip-Hop
2/9/2024 14:10:49,33-49+,Happy,Other/None of these,Yes,Cleaning,Background noise,Pop
2/9/2024 14:12:37,23-32,Anxious,Other/None of these,Yes,Working out,Loud,Pop
2/9/2024 14:12:48,23-32,Happy,Weight Lifting,Yes,Cleaning,Loud,Pop
2/9/2024 14:13:09,11-18,silly,Gaming,Yes,Just listening because why not,Very loud,Metal
2/9/2024 14:13:26,11-18,Calm,Other/None of these,I Dont care,Just listening because why not,Very loud,Rock
2/9/2024 14:13:50,33-49+,Calm,Gaming,Yes,Other,Background noise,Rock
2/9/2024 14:14:08,11-18,I have no emotion,Weight Lifting,Maybe,Working out,Loud,Rap
2/9/2024 14:14:13,11-18,Happy,Other/None of these,Yes,Just listening because why not,Loud,Jazz
2/9/2024 14:15:13,11-18,Happy,Gaming,Yes,Falling asleep/Sleeping,Very loud,R&B
2/9/2024 14:15:58,11-18,Stressed,Dancing,Maybe,Homework,Background noise,Pop
2/9/2024 14:16:25,33-49+,Happy,Other/None of these,Yes,Falling asleep/Sleeping,Loud,Country
2/9/2024 14:20:02,33-49+,Angry,Weight Lifting,I Dont care,Working out,Very loud,Metal
2/9/2024 14:20:23,33-49+,Angry,Gaming,I Dont care,Playing outside,Very loud,K-Pop
2/9/2024 14:20:33,11-18,Calm,Dancing,Maybe,Cleaning,Loud,Pop
2/9/2024 14:21:09,23-32,Stressed,Gaming,Yes,Reading,Very loud,Metal
2/9/2024 14:29:33,33-49+,Happy,Other/None of these,I Dont care,Just listening because why not,Loud,Pop
2/9/2024 14:31:00,11-18,Angry,Gaming,Yes,Working out,Very loud,Rap
2/9/2024 14:32:05,11-18,Calm,Weight Lifting,Yes,Working out,Loud,Rock
2/9/2024 14:32:30,33-49+,Happy,Other/None of these,Maybe,Cleaning,Loud,Pop
2/9/2024 14:32:42,23-32,Happy,Gaming,Yes,Just listening because why not,Very loud,Classical
2/9/2024 14:38:43,11-18,Happy,Other/None of these,Yes,Cleaning,Loud,Pop
2/9/2024 14:39:54,33-49+,Happy,Other/None of these,Yes,Just listening because why not,Loud,Rock
2/9/2024 14:41:54,0-10,Calm,Drawing,I Dont care,Playing video games,Loud,Pop
2/9/2024 14:44:31,11-18,Happy,Dancing,Yes,Homework,Loud,Pop
2/9/2024 14:52:55,11-18,Stressed,Other/None of these,Yes,Working out,Loud,Hip-Hop
2/9/2024 14:56:58,11-18,Happy,Other/None of these,I Dont care,Just listening because why not,Very loud,Rock
2/9/2024 14:57:31,11-18,Happy,Weight Lifting,Yes,Playing video games,Loud,Hip-Hop
2/9/2024 15:03:22,11-18,Happy,Other/None of these,Maybe,Homework,Loud,Rap
2/9/2024 15:08:32,11-18,Calm,Dancing,I Dont care,Cleaning,Loud,Rap
2/9/2024 15:09:46,11-18,Calm,Gaming,Yes,Playing video games,Very loud,Pop
2/9/2024 15:10:35,11-18,Happy,Dancing,Yes,Cleaning,Loud,Pop
2/9/2024 15:19:06,11-18,Calm,Other/None of these,Yes,Just listening because why not,Very loud,R&B
2/9/2024 15:24:02,11-18,Sad,Gaming,Maybe,Playing video games,Very loud,Metal
2/9/2024 15:24:37,11-18,Calm,Drawing,Yes,Homework,Very loud,Pop
2/9/2024 15:25:48,11-18,Calm,Drawing,I Dont care,Falling asleep/Sleeping,Background noise,Rock
2/9/2024 15:27:46,11-18,Angry,Gaming,I Dont care,Other,Very loud,Pop
2/9/2024 15:30:04,33-49+,Happy,Other/None of these,Yes,Working out,Background noise,Country
2/9/2024 15:32:29,11-18,Stressed,Gaming,Maybe,Playing video games,Loud,Jazz
2/9/2024 15:46:08,11-18,Happy,Other/None of these,Yes,Playing outside,Loud,Country
2/9/2024 16:00:45,11-18,Stressed,Weight Lifting,Yes,Working out,Loud,Rap
